circuitid,name,city,country,latitude,longitude,description
1,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,"The Albert Park Circuit is a motorsport street circuit around Albert Park Lake in the suburb of Albert Park in Melbourne . It is used annually as a circuit for the Formula One Australian Grand Prix , the supporting Supercars Championship Melbourne SuperSprint and other associated support races. The circuit has an FIA Grade 1 licence.

Although the entire track consists of normally public roads, each sector includes medium to high-speed characteristics more commonly associated with dedicated racetracks facilitated by grass and gravel run-off safety zones that are reconstructed annually. However, the circuit also has characteristics of a street circuit's enclosed nature due to concrete barriers annually built along the Lakeside Drive curve, in particular, where run-off is not available due to the proximity of the lake shore."
2,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,"Sepang International Circuit (Malay: Litar Antarabangsa Sepang) (known as Petronas Sepang International Circuit for commercial reasons) is a motorsport race track in Sepang, Selangor, Malaysia. It is located approximately 45-kilometre (28 mi) south of Kuala Lumpur, close to Kuala Lumpur International Airport. It hosted the Formula One Malaysian Grand Prix between 1999 and 2017, and is also the venue for the Malaysian Motorcycle Grand Prix, the Malaysia Merdeka Endurance Race, and other major motorsport events. Previously known as the Sepang F1 Circuit, it was renamed the Sepang International Circuit. On 31 October 2023, it was announced that Petronas has acquired the naming rights to the circuit for three years in an undisclosed fee."
3,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,"The Bahrain International Circuit ( Arabic : حلبة البحرين الدولية , romanized : Ḥalba al-Baḥrayn ad-Dawliyya ) is a 5.412 km (3.363 mi) motorsport venue opened in 2004 and used for drag racing , GP2 Series (now FIA Formula 2 ), and the annual Formula One Bahrain Grand Prix . The 2004 Grand Prix was the first held in the Middle East . Beginning in 2006, Australian V8 Supercars raced at the BIC, with the event known as the Desert 400 . However, the V8 Supercars did not return for the 2011 V8 Supercar season . 24 Hour endurance races are also hosted at BIC. The circuit has a FIA Grade 1 license. The circuit also has multiple layouts."
4,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,"The Circuit de Barcelona-Catalunya ( Catalan pronunciation: [siɾˈkujd də bəɾsəˈlonə kətəˈluɲə] ) is a 4.657 km (2.894 mi) motorsport race track in Montmeló , Barcelona , Catalonia , Spain . With long straights and a variety of corners, the Circuit de Barcelona-Catalunya is seen as an all-rounder circuit. The track has stands with a capacity of 140,700. The circuit has FIA Grade 1 license.

Until 2013 the track was known only as the Circuit de Catalunya , before a sponsorship deal with Barcelona City Council added Barcelona to the track's title."
5,Istanbul Park,Istanbul,Turkey,40.9517,29.405,"Istanbul Park ( Turkish : İstanbul Park ), also known as the Istanbul Racing Circuit or initially as the Istanbul Otodrom , is a motor sports race track in the Tuzla district of Istanbul , Turkey . Designed by Hermann Tilke , it opened on 19–21 August 2005. It has been called ""the best race track in the world"" by former Formula One Chief Executive Bernie Ecclestone , who held the managing rights of the circuit between 2007 and 2011. The circuit was then managed by the Turkish company Intercity since October 2012 to March 2024. The operating rights were given to Can Bilim Eğitim Kurumları A.Ş. in April 2024 for 30 years."
6,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,"Circuit de Monaco is a 3.337 km (2.074 mi) street circuit laid out on the city streets of Monte Carlo and La Condamine around the harbour of the Principality of Monaco . It is commonly, and even officially, referred to as "" Monte Carlo "" because it is largely inside the Monte Carlo neighbourhood of Monaco.

The circuit is annually used on three weekends in April–May for Formula One Monaco Grand Prix , Formula E Monaco ePrix and Historic Grand Prix of Monaco . Formula One's respective feeder series over the years – Formula 3000 , GP2 Series and today the Formula 2 and FIA Formula 3 championships and Porsche Supercup – also visit the circuit concurrently with Formula One. The Monaco Grand Prix is one of the three events victories in which count towards the Triple Crown of Motorsport ."
7,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,"Le circuit Gilles-Villeneuve est un circuit de sports mécaniques situé au parc Jean-Drapeau sur l' île Notre-Dame , au milieu du fleuve Saint-Laurent , à Montréal , Canada . Il porte son nom en l'honneur du pilote canadien Gilles Villeneuve qui y obtint sa première victoire en 1978 , et qui se tua lors de la séance de qualification du Grand Prix de Formule 1 de Belgique à Zolder le 8 mai 1982 .

Le Grand Prix du Canada de Formule 1 s'y tient depuis 1978 hormis une pause en 2009 et deux annulations en 2020 et 2021 en raison de la pandémie de Covid-19 . Il devient en 2023 avec 42 éditions, le cinquième circuit le plus utilisé dans l'histoire de la Formule 1 ."
8,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361,"Le circuit de Nevers Magny-Cours est un circuit automobile permanent français situé près du village de Magny-Cours , à 18 km au sud de Nevers dans la Nièvre et propriété du conseil départemental de la Nièvre depuis 1986.

Le site comprend trois circuits, la piste Grand Prix, la piste Club et la piste de karting , ainsi que des infrastructures d'accueil, des salles de réception et de conférence. En plus de sa vocation purement sportive (organisation de manifestations diverses, gestion de ses infrastructures destinées aux sports mécaniques), le circuit a également pour activité la gestion d'équipements permettant l'organisation de réunions d'entreprises, de séminaires ou congrès.

Le Grand Prix de France de Formule 1 s'y est couru de 1991 à 2008 ."
9,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,"Silverstone Circuit is a motor racing circuit in England, near the Northamptonshire villages of Silverstone and Whittlebury . It is the home of the British Grand Prix , which it first hosted as the 1948 British Grand Prix . The 1950 British Grand Prix at Silverstone was the first race in the newly created World Championship of Drivers . The race rotated between Silverstone, Aintree and Brands Hatch from 1955 to 1986, but settled permanently at the Silverstone track in 1987. The circuit also hosts the British round of the MotoGP series."
10,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,"The Hockenheimring Baden-Württemberg ( German: [ˈhɔkŋ̍haɪmʁɪŋ ˌbaːdn̩ ˈvʏʁtəmbɛʁk] ) is a motor racing circuit situated in the Rhine valley near the town of Hockenheim in Baden-Württemberg , Germany, located on the Bertha Benz Memorial Route . Amongst other motor racing events, it has hosted the German Grand Prix , most recently in 2019 . The circuit is nearly flat. The circuit has an FIA Grade 1 licence."
11,Hungaroring,Budapest,Hungary,47.5789,19.2486,"The Hungaroring is a 4.381 km (2.722 mi) motorsport racetrack in Mogyoród , Pest County , Hungary where the Formula One Hungarian Grand Prix is held. In 1986, it became the location of the first Formula One Grand Prix behind the Iron Curtain . Bernie Ecclestone wanted a race in the USSR , but a Hungarian friend recommended Budapest . They wanted a street circuit similar to the Circuit de Monaco to be built in the Népliget – Budapest's largest park – but the government decided to build a new circuit just outside the city near a major highway. Construction works started on 1 October 1985. It was built in eight months, less time than any other Formula One circuit. The first race was held on 24 March 1986, in memory of János Drapál , the first Hungarian who won motorcycle Grand Prix races. According to a survey put together by the national tourism office of Hungary, Mogyoród ranks third among Hungarian destinations visited by tourists, behind the Danube Bend area and Lake Balaton , but ahead of Budapest. The circuit has FIA Grade 1 license."
12,Valencia Street Circuit,Valencia,Spain,39.4589,-0.331667,"The Valencia Street Circuit ( Valencian : Circuit Urbà de València , Spanish: Circuito Urbano de Valencia ) was a street circuit in Valencia, Spain which hosted the Formula One European Grand Prix for five years (2008–2012). The first Formula One race meeting on the circuit was held over the 23–24 August 2008 weekend, with Felipe Massa winning the main event, the European Grand Prix, after starting from pole position . The circuit used the roads skirting the city's harbour and America's Cup port area – including a section over a 140-metre-long (460 ft) swing bridge – and also included some roads designed exclusively for racing purposes by the German architect Hermann Tilke , who also designed the infrastructure buildings for the circuit. The 2012 edition took place on 24 June and was the last to go under the name of the European Grand Prix until 2016, when the Baku City Circuit used the title for one year. The circuit has been left abandoned after a deal fell through to alternate this venue with Catalunya in Barcelona to host the Spanish Grand Prix."
13,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,"The Circuit de Spa-Francorchamps ( French pronunciation: [siʁkɥi də spa fʁɑ̃kɔʁʃɑ̃] ), informally referred to as Spa , is a 7.004 km (4.352 mi) motor-racing circuit located in Francorchamps , Stavelot , Wallonia , Belgium, about 8 km (5.0 mi) southeast of Spa . It is the current venue of the Formula One Belgian Grand Prix , hosting its first Grand Prix in 1925 , and has held a Grand Prix every year since 1985 except 2003 and 2006.

Spa also hosts several other international events including the 24 Hours of Spa and the World Endurance Championship 6 Hours of Spa-Francorchamps . It is also the host of the Uniroyal Fun Cup 25 Hours of Spa, one of the longest motor races in the world.

The circuit has undergone several redesigns through its history, most extensively in 1979 when the track was modified and shortened from a 14.100 km (8.761 mi) circuit using public roads to a 6.947 km (4.317 mi) permanent circuit due to safety concerns with the old circuit."
14,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,"L' Autodromo nazionale Monza è un circuito automobilistico italiano , situato all'interno del parco di Monza .

È il terzo autodromo permanente più antico al mondo, dopo quello di Brooklands in Inghilterra e quello di Indianapolis negli Stati Uniti d'America ; inoltre è la sede storica del Gran Premio d'Italia , disputatosi qui 89 volte sulle 94 totali; sin dalla sua istituzione nel 1950 (con l'eccezione del 1980) ha sempre ospitato la Formula 1 ; dal 1949 al 1968 è anche stato sede del Gran Premio delle Nazioni del Motomondiale . È il circuito dove si sono svolti più Gran Premi di Formula 1 ; nella stagione 2024 si è corso il 74º Gran Premio. Il circuito è noto anche come il ""Tempio della velocità"" per i suoi lunghi rettilinei e le curve ad alta percorrenza.

Dal 1991 , con le modifiche al circuito di Silverstone , il tracciato brianzolo è il più veloce tra quelli iridati: il record assoluto del circuito è di 1'18""887 con una media di 264,362 km/h, la più alta di sempre della storia della Formula 1 , stabilito da Lewis Hamilton su Mercedes nelle qualifiche del Gran Premio d'Italia 2020 .

Il circuito viene utilizzato anche per numerose manifestazioni, corse di beneficenza, concerti e in alcune occasioni è stato anche partenza o arrivo di una tappa del Giro d'Italia . L'autodromo ha una capienza di 118 865 posti a sedere.

Dal 7 al 9 luglio 2023 si è tenuto il primo Gran Premio femminile nella storia di Monza, in occasione del quinto appuntamento della F1 Academy 2023 , che è consistito in tre mini-gare: a vincerle sono state Marta García , Léna Bühler e Bianca Bustamante. Il record femminile nel giro di pista in gara è proprio della pilota spagnola, che in gara 3, pur arrivando quinta, ha chiuso un giro in 1'53""652."
15,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,"The Marina Bay Street Circuit (otherwise known as the Singapore Street Circuit ) is a street circuit around Marina Bay , Singapore , encompassing the planning areas of Downtown Core (Turns 4 to 19) and Kallang (Turns 1 to 3).

It is the venue for the Singapore Grand Prix . The track is 4.940 km (3.070 mi) long in a harbourside location similar in style to the Circuit de Monaco and the Valencia Street Circuit .

The circuit was designed by KBR , and is a modification of the original one first proposed by Hermann Tilke . The circuit has a FIA Grade 1 license. The circuit held a unique record of having at least one safety car appearance in every race until the 2024 race. There has been a total of 24 safety car deployments in 15 races."
16,Fuji Speedway,Oyama,Japan,35.3717,138.927,"Fuji Speedway ( 富士スピードウェイ , Fuji Supīdowei ) is a motorsport race track standing in the foothills of Mount Fuji , in Oyama , Suntō District , Shizuoka Prefecture , Japan. It was built in the early 1960s. In the 1980s, Fuji Speedway was used for the FIA World Sportscar Championship and national racing. Originally managed by Mitsubishi Estate , Fuji Speedway was acquired by Toyota in 2000. The circuit hosted the Formula One 2007 Japanese Grand Prix after an absence of nearly 30 years, replacing the Suzuka Circuit owned by Honda . After Fuji Speedway hosted the 2008 race, the Japanese Grand Prix returned to Suzuka for races from 2009 onward. The Super GT Fuji 500 km race is held at the racetrack on Golden Week .

Fuji Speedway has one of the longest straights in motorsport, at 1.475 km (0.917 mi) in length. The circuit has an FIA Grade 1 license."
17,Shanghai International Circuit,Shanghai,China,31.3389,121.22,"The Shanghai International Circuit ( simplified Chinese : 上海国际赛车场 ; traditional Chinese : 上海國際賽車場 ; pinyin : Shànghǎi Guójì Sàichēchǎng ), also called the SAIC Shanghai International Circuit ( simplified Chinese : 上海上汽国际赛车场 ; traditional Chinese : 上海上汽國際賽車場 ; pinyin : Shànghǎi Shàngqì Guójì Sàichēchǎng ) for sponsorship purposes, is a motorsport race track , situated in the Jiading District , Shanghai , China . The circuit is best known as the venue for the annual Chinese Grand Prix which was hosted from 2004 to 2019, and from 2024. Besides Chinese Grand Prix, the circuit also hosts Shanghai ePrix from 2024.

The Shanghai International Circuit features over 10 top-tier domestic car racing events annually. It also boasts Shanghai's only world-class outdoor go-karting track.

As a nationally recognized 4A-rated tourist attraction, the circuit features tourism, shopping, dining, entertainment, and sports.

The track was resurfaced ahead of the 2025 Chinese Grand Prix ."
